Team,Season,Result
San Antonio Spurs,2000,Conference First Round
Minnesota Timberwolves,2000,Conference First Round
Seattle SuperSonics,2000,Conference First Round
Los Angeles Lakers,2001,Won Finals
Philadelphia 76ers,2001,Lost Finals
Milwaukee Bucks,2001,Conference Finals
San Antonio Spurs,2001,Conference Finals
Charlotte Hornets,2001,Conference Semifinals
Toronto Raptors,2001,Conference Semifinals
Sacramento Kings,2001,Conference Semifinals
Dallas Mavericks,2001,Conference Semifinals
Miami Heat,2001,Conference First Round
Orlando Magic,2001,Conference First Round
Indiana Pacers,2001,Conference First Round
New York Knicks,2001,Conference First Round
Utah Jazz,2001,Conference First Round
Portland Trail Blazers,2001,Conference First Round
Phoenix Suns,2001,Conference First Round
Minnesota Timberwolves,2001,Conference First Round
Los Angeles Lakers,2002,Won Finals
New Jersey Nets,2002,Lost Finals
Boston Celtics,2002,Conference Finals
Sacramento Kings,2002,Conference Finals
Detroit Pistons,2002,Conference Semifinals
Charlotte Hornets,2002,Conference Semifinals
San Antonio Spurs,2002,Conference Semifinals
Dallas Mavericks,2002,Conference Semifinals
Philadelphia 76ers,2002,Conference First Round
Orlando Magic,2002,Conference First Round
Toronto Raptors,2002,Conference First Round
Indiana Pacers,2002,Conference First Round
Minnesota Timberwolves,2002,Conference First Round
Portland Trail Blazers,2002,Conference First Round
Utah Jazz,2002,Conference First Round
Seattle SuperSonics,2002,Conference First Round
San Antonio Spurs,2003,Won Finals
New Jersey Nets,2003,Lost Finals
Detroit Pistons,2003,Conference Finals
Dallas Mavericks,2003,Conference Finals
Philadelphia 76ers,2003,Conference Semifinals
Boston Celtics,2003,Conference Semifinals
Sacramento Kings,2003,Conference Semifinals
Los Angeles Lakers,2003,Conference Semifinals
Indiana Pacers,2003,Conference First Round
Orlando Magic,2003,Conference First Round
Milwaukee Bucks,2003,Conference First Round
New Orleans Hornets,2003,Conference First Round
Portland Trail Blazers,2003,Conference First Round
Minnesota Timberwolves,2003,Conference First Round
Utah Jazz,2003,Conference First Round
Phoenix Suns,2003,Conference First Round
Detroit Pistons,2004,Won Finals
Los Angeles Lakers,2004,Lost Finals
Indiana Pacers,2004,Conference Finals
Minnesota Timberwolves,2004,Conference Finals
New Jersey Nets,2004,Conference Semifinals
Miami Heat,2004,Conference Semifinals
San Antonio Spurs,2004,Conference Semifinals
Sacramento Kings,2004,Conference Semifinals
Milwaukee Bucks,2004,Conference First Round
Boston Celtics,2004,Conference First Round
New Orleans Hornets,2004,Conference First Round
New York Knicks,2004,Conference First Round
Houston Rockets,2004,Conference First Round
Denver Nuggets,2004,Conference First Round
Dallas Mavericks,2004,Conference First Round
Memphis Grizzlies,2004,Conference First Round
San Antonio Spurs,2005,Won Finals
Detroit Pistons,2005,Lost Finals
Miami Heat,2005,Conference Finals
Phoenix Suns,2005,Conference Finals
Indiana Pacers,2005,Conference Semifinals
Washington Wizards,2005,Conference Semifinals
Dallas Mavericks,2005,Conference Semifinals
Seattle SuperSonics,2005,Conference Semifinals
Philadelphia 76ers,2005,Conference First Round
Boston Celtics,2005,Conference First Round
New Jersey Nets,2005,Conference First Round
Chicago Bulls,2005,Conference First Round
Houston Rockets,2005,Conference First Round
Memphis Grizzlies,2005,Conference First Round
Denver Nuggets,2005,Conference First Round
Sacramento Kings,2005,Conference First Round
Miami Heat,2006,Won Finals
Dallas Mavericks,2006,Lost Finals
Detroit Pistons,2006,Conference Finals
Phoenix Suns,2006,Conference Finals
Cleveland Cavaliers,2006,Conference Semifinals
New Jersey Nets,2006,Conference Semifinals
San Antonio Spurs,2006,Conference Semifinals
Los Angeles Clippers,2006,Conference Semifinals
Washington Wizards,2006,Conference First Round
Milwaukee Bucks,2006,Conference First Round
Chicago Bulls,2006,Conference First Round
Indiana Pacers,2006,Conference First Round
Memphis Grizzlies,2006,Conference First Round
Denver Nuggets,2006,Conference First Round
Los Angeles Lakers,2006,Conference First Round
Sacramento Kings,2006,Conference First Round
San Antonio Spurs,2007,Won Finals
Cleveland Cavaliers,2007,Lost Finals
Detroit Pistons,2007,Conference Finals
Utah Jazz,2007,Conference Finals
New Jersey Nets,2007,Conference Semifinals
Chicago Bulls,2007,Conference Semifinals
Phoenix Suns,2007,Conference Semifinals
Golden State Warriors,2007,Conference Semifinals
Miami Heat,2007,Conference First Round
Washington Wizards,2007,Conference First Round
Orlando Magic,2007,Conference First Round
Toronto Raptors,2007,Conference First Round
Dallas Mavericks,2007,Conference First Round
Los Angeles Lakers,2007,Conference First Round
Denver Nuggets,2007,Conference First Round
Houston Rockets,2007,Conference First Round
Boston Celtics,2008,Won Finals
Los Angeles Lakers,2008,Lost Finals
Detroit Pistons,2008,Conference Finals
San Antonio Spurs,2008,Conference Finals
Cleveland Cavaliers,2008,Conference Semifinals
Orlando Magic,2008,Conference Semifinals
Utah Jazz,2008,Conference Semifinals
New Orleans Hornets,2008,Conference Semifinals
Atlanta Hawks,2008,Conference First Round
Washington Wizards,2008,Conference First Round
Philadelphia 76ers,2008,Conference First Round
Toronto Raptors,2008,Conference First Round
Denver Nuggets,2008,Conference First Round
Dallas Mavericks,2008,Conference First Round
Phoenix Suns,2008,Conference First Round
Houston Rockets,2008,Conference First Round
Los Angeles Lakers,2009,Won Finals
Orlando Magic,2009,Lost Finals
Cleveland Cavaliers,2009,Conference Finals
Denver Nuggets,2009,Conference Finals
Atlanta Hawks,2009,Conference Semifinals
Boston Celtics,2009,Conference Semifinals
Dallas Mavericks,2009,Conference Semifinals
Houston Rockets,2009,Conference Semifinals
Miami Heat,2009,Conference First Round
Chicago Bulls,2009,Conference First Round
Detroit Pistons,2009,Conference First Round
Philadelphia 76ers,2009,Conference First Round
San Antonio Spurs,2009,Conference First Round
New Orleans Hornets,2009,Conference First Round
Portland Trail Blazers,2009,Conference First Round
Utah Jazz,2009,Conference First Round
Los Angeles Lakers,2010,Won Finals
Boston Celtics,2010,Lost Finals
Orlando Magic,2010,Conference Finals
Phoenix Suns,2010,Conference Finals
Cleveland Cavaliers,2010,Conference Semifinals
Atlanta Hawks,2010,Conference Semifinals
Utah Jazz,2010,Conference Semifinals
San Antonio Spurs,2010,Conference Semifinals
Milwaukee Bucks,2010,Conference First Round
Miami Heat,2010,Conference First Round
Chicago Bulls,2010,Conference First Round
Charlotte Bobcats,2010,Conference First Round
Oklahoma City Thunder,2010,Conference First Round
Portland Trail Blazers,2010,Conference First Round
Dallas Mavericks,2010,Conference First Round
Denver Nuggets,2010,Conference First Round
Dallas Mavericks,2011,Won Finals
Miami Heat,2011,Lost Finals
Chicago Bulls,2011,Conference Finals
Oklahoma City Thunder,2011,Conference Finals
Atlanta Hawks,2011,Conference Semifinals
Boston Celtics,2011,Conference Semifinals
Los Angeles Lakers,2011,Conference Semifinals
Memphis Grizzlies,2011,Conference Semifinals
Orlando Magic,2011,Conference First Round
New York Knicks,2011,Conference First Round
Indiana Pacers,2011,Conference First Round
Philadelphia 76ers,2011,Conference First Round
Portland Trail Blazers,2011,Conference First Round
New Orleans Hornets,2011,Conference First Round
San Antonio Spurs,2011,Conference First Round
Denver Nuggets,2011,Conference First Round
Miami Heat,2012,Won Finals
