# Tm,Pos,Player,Season,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,3rd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
ORV,F,Shawn Kemp,1993,23,SEA,45,490,0.092,1.0,,,78,33.1,17.8,10.7,2.0,1.5,1.9,0.492,0.0,0.712,9.1,0.169
ORV,F,Detlef Schrempf,1993,30,IND,28,490,0.057,0.0,,,82,37.8,19.1,9.5,6.0,1.0,0.3,0.476,0.154,0.804,10.4,0.161
ORV,F,Reggie Lewis,1993,27,BOS,26,490,0.053,0.0,,,80,39.3,20.8,4.3,3.7,1.5,1.0,0.47,0.233,0.867,8.3,0.127
ORV,G,Kevin Johnson,1993,26,PHO,14,490,0.029,0.0,,,49,33.5,16.1,2.1,7.8,1.7,0.4,0.499,0.125,0.819,5.1,0.148
ORV,F,Dennis Rodman,1993,31,DET,14,490,0.029,0.0,,,62,38.9,7.5,18.3,1.6,0.8,0.7,0.427,0.205,0.534,5.5,0.11
ORV,G,Reggie Miller,1993,27,IND,11,490,0.022,0.0,,,82,36.0,21.2,3.1,3.2,1.5,0.3,0.479,0.399,0.88,11.3,0.183
ORV,F,Larry Nance,1993,33,CLE,9,490,0.018,0.0,,,77,35.8,16.5,8.7,2.9,0.7,2.6,0.549,0.0,0.818,10.7,0.187
ORV,G,John Starks,1993,27,NYK,8,490,0.016,0.0,,,80,31.0,17.5,2.6,5.1,1.1,0.2,0.428,0.321,0.795,7.5,0.145
ORV,G,Clyde Drexler,1993,30,POR,7,490,0.014,0.0,,,49,34.1,19.9,6.3,5.7,1.9,0.8,0.429,0.233,0.839,6.0,0.171
ORV,F,Sean Elliott,1993,24,SAS,7,490,0.014,0.0,,,70,37.2,17.2,4.6,3.8,1.0,0.4,0.491,0.356,0.795,6.1,0.113
ORV,G,Isiah Thomas,1993,31,DET,7,490,0.014,0.0,,,79,37.0,17.6,2.9,8.5,1.6,0.2,0.418,0.308,0.737,3.7,0.061
ORV,G,Jeff Hornacek,1993,29,PHI,6,490,0.012,0.0,,,79,36.2,19.1,4.3,6.9,1.7,0.3,0.47,0.39,0.865,6.3,0.106
ORV,F,Chris Mullin,1993,29,GSW,6,490,0.012,0.0,,,46,41.3,25.9,5.0,3.6,1.5,0.9,0.51,0.451,0.81,4.9,0.122
ORV,F,Clifford Robinson,1993,26,POR,5,490,0.01,0.0,,,82,31.4,19.1,6.6,2.2,1.2,2.0,0.473,0.247,0.69,6.8,0.127
ORV,G,Kenny Anderson,1993,22,NJN,4,490,0.008,0.0,,,55,36.5,16.9,4.1,8.2,1.7,0.2,0.435,0.28,0.776,4.4,0.106
ORV,G,Mookie Blaylock,1993,25,ATL,4,490,0.008,0.0,,,80,35.3,13.4,3.5,8.4,2.5,0.3,0.429,0.375,0.728,7.0,0.119
ORV,C,Brad Daugherty,1993,27,CLE,4,490,0.008,0.0,,,71,37.9,20.2,10.2,4.4,0.7,0.8,0.571,0.5,0.795,12.7,0.226
ORV,G,Mark Jackson,1993,27,LAC,3,490,0.006,0.0,,,82,38.0,14.4,4.7,8.8,1.7,0.1,0.486,0.268,0.803,7.9,0.122
ORV,G,Scott Skiles,1993,28,ORL,3,490,0.006,0.0,,,78,39.6,15.4,3.7,9.4,1.1,0.0,0.467,0.34,0.892,8.0,0.125
ORV,G,Doug West,1993,25,MIN,3,490,0.006,0.0,,,80,38.8,19.3,3.1,2.9,1.1,0.3,0.517,0.087,0.841,4.3,0.066
ORV,G,Ricky Pierce,1993,33,SEA,2,490,0.004,0.0,0.0,2.0,77,28.8,18.2,2.5,2.9,1.3,0.1,0.489,0.372,0.889,7.7,0.167
ORV,F,Kevin Willis,1993,30,ATL,2,490,0.004,0.0,0.0,2.0,80,36.0,17.9,12.9,2.1,0.9,0.5,0.506,0.241,0.653,6.0,0.099
ORV,G,Muggsy Bogues,1993,28,CHH,1,490,0.002,0.0,0.0,1.0,81,35.0,10.0,3.7,8.8,2.0,0.1,0.453,0.231,0.833,5.9,0.1
ORV,F,Horace Grant,1993,27,CHI,1,490,0.002,0.0,0.0,1.0,77,35.6,13.2,9.5,2.6,1.2,1.2,0.508,0.2,0.619,9.1,0.159
ORV,G,Derek Harper,1993,31,DAL,1,490,0.002,0.0,0.0,1.0,62,34.0,18.2,2.0,5.4,1.3,0.3,0.419,0.393,0.756,2.7,0.062
ORV,C,Alonzo Mourning,1993,22,CHH,1,490,0.002,0.0,0.0,1.0,78,33.9,21.0,10.3,1.0,0.3,3.5,0.511,0.0,0.781,8.2,0.148
ORV,G,Gary Payton,1993,24,SEA,1,490,0.002,0.0,0.0,1.0,82,31.1,13.5,3.4,4.9,2.2,0.3,0.494,0.206,0.77,7.8,0.147
ORV,F,Charles Smith,1993,27,NYK,1,490,0.002,0.0,0.0,1.0,81,26.8,12.4,5.3,1.8,0.6,1.2,0.469,0.0,0.782,6.6,0.146
ORV,G,Steve Smith,1993,23,MIA,1,490,0.002,0.0,0.0,1.0,48,33.5,16.0,4.1,5.6,1.0,0.3,0.451,0.402,0.787,3.5,0.104
ORV,G,Rod Strickland,1993,26,POR,1,490,0.002,0.0,0.0,1.0,78,31.7,13.7,4.3,7.2,1.7,0.3,0.485,0.133,0.717,7.4,0.143
ORV,F,Otis Thorpe,1993,30,HOU,1,490,0.002,0.0,0.0,1.0,72,32.7,12.8,8.2,2.5,0.6,0.3,0.558,0.0,0.598,6.0,0.122
1st,F,Scottie Pippen,1994,28,CHI,485,515,0.942,94.0,,,72,38.3,22.0,8.7,5.6,2.9,0.8,0.491,0.32,0.66,11.2,0.194
1st,C,Hakeem Olajuwon,1994,31,HOU,433,515,0.841,68.0,,,80,41.0,27.3,11.9,3.6,1.6,3.7,0.528,0.421,0.716,14.3,0.21
1st,F,Karl Malone,1994,30,UTA,417,515,0.81,65.0,,,82,40.6,25.2,11.5,4.0,1.5,1.5,0.497,0.25,0.694,13.4,0.193
1st,G,John Stockton,1994,31,UTA,356,515,0.691,56.0,,,82,36.2,15.1,3.1,12.6,2.4,0.3,0.528,0.322,0.805,13.2,0.214
1st,G,Latrell Sprewell,1994,23,GSW,252,515,0.489,29.0,,,82,43.1,21.0,4.9,4.7,2.2,0.9,0.433,0.361,0.774,8.0,0.108
2nd,C,David Robinson,1994,28,SAS,341,515,0.662,29.0,,,80,40.5,29.8,10.7,4.8,1.7,3.3,0.507,0.345,0.749,20.0,0.296
2nd,F,Shawn Kemp,1994,24,SEA,212,515,0.411,17.0,,,79,32.9,18.1,10.8,2.6,1.8,2.1,0.538,0.25,0.741,11.7,0.216
2nd,F,Charles Barkley,1994,30,PHO,204,515,0.396,15.0,,,65,35.4,21.6,11.2,4.6,1.6,0.6,0.495,0.27,0.704,8.8,0.185
2nd,G,Mitch Richmond,1994,28,SAC,198,515,0.384,24.0,,,78,37.1,23.4,3.7,4.0,1.3,0.2,0.445,0.407,0.834,6.4,0.106
2nd,G,Kevin Johnson,1994,27,PHO,190,515,0.369,23.0,,,67,36.6,20.0,2.5,9.5,1.9,0.1,0.487,0.222,0.819,8.7,0.17
3rd,G,Mark Price,1994,29,CLE,182,515,0.353,22.0,,,76,31.4,17.3,3.0,7.8,1.4,0.1,0.478,0.397,0.888,10.0,0.201
3rd,G,Gary Payton,1994,25,SEA,175,515,0.34,21.0,,,82,35.1,16.5,3.3,6.0,2.3,0.2,0.504,0.278,0.595,9.3,0.155
3rd,F,Derrick Coleman,1994,26,NJN,139,515,0.27,4.0,,,77,36.1,20.2,11.3,3.4,0.9,1.8,0.447,0.314,0.774,9.9,0.171
3rd,F,Dominique Wilkins,1994,34,TOT,106,515,0.206,3.0,,,74,35.6,26.0,6.5,2.3,1.2,0.4,0.44,0.288,0.847,8.4,0.153
3rd,C,Shaquille O'Neal,1994,21,ORL,95,515,0.183,3.0,,,81,39.8,29.3,13.2,2.4,0.9,2.9,0.599,0.0,0.554,16.9,0.252
ORV,G,Kenny Anderson,1994,23,NJN,170,515,0.33,13.0,,,82,38.2,18.8,3.9,9.6,1.9,0.2,0.417,0.303,0.818,7.5,0.114
ORV,G,Reggie Miller,1994,28,IND,106,515,0.206,7.0,,,79,33.4,19.9,2.7,3.1,1.5,0.3,0.503,0.421,0.908,11.7,0.212
ORV,G,Mookie Blaylock,1994,26,ATL,95,515,0.184,4.0,,,81,36.0,13.8,5.2,9.7,2.6,0.5,0.411,0.334,0.73,10.2,0.168
ORV,F,Kevin Willis,1994,31,ATL,77,515,0.15,3.0,,,80,35.8,19.1,12.0,1.9,1.0,0.5,0.499,0.375,0.713,10.2,0.17
ORV,F,Dennis Rodman,1994,32,SAS,52,515,0.101,1.0,,,79,37.8,4.7,17.3,2.3,0.7,0.4,0.534,0.208,0.52,8.7,0.14
ORV,F,Charles Oakley,1994,30,NYK,41,515,0.079,0.0,,,82,35.8,11.8,11.8,2.7,1.3,0.2,0.478,0.0,0.776,10.5,0.172
ORV,C,Patrick Ewing,1994,31,NYK,35,515,0.068,0.0,,,79,37.6,24.5,11.2,2.3,1.1,2.7,0.496,0.286,0.765,13.1,0.211
ORV,F,Horace Grant,1994,28,CHI,35,515,0.068,0.0,,,70,36.7,15.1,11.0,3.4,1.1,1.2,0.524,0.0,0.596,10.0,0.188
ORV,G,Joe Dumars,1994,30,DET,34,515,0.066,2.0,,,69,37.6,20.4,2.2,3.8,0.9,0.1,0.452,0.388,0.836,4.4,0.082
ORV,F,Danny Manning,1994,27,TOT,34,515,0.066,0.0,,,68,37.1,20.6,6.8,3.8,1.5,1.2,0.488,0.176,0.669,3.5,0.066
ORV,G,Rod Strickland,1994,27,POR,11,515,0.021,0.0,,,82,35.2,17.2,4.5,9.0,1.8,0.3,0.483,0.2,0.749,9.3,0.155
ORV,G,Clyde Drexler,1994,31,POR,8,515,0.016,0.0,,,68,34.3,19.2,6.5,4.9,1.4,0.5,0.428,0.324,0.777,6.8,0.14
ORV,G,B.J. Armstrong,1994,26,CHI,6,515,0.012,1.0,0.0,1.0,82,33.8,14.8,2.1,3.9,1.0,0.1,0.476,0.444,0.855,7.5,0.13
ORV,G,Dan Majerle,1994,28,PHO,6,515,0.012,1.0,0.0,1.0,80,40.1,16.5,4.4,3.4,1.6,0.5,0.418,0.382,0.739,7.3,0.109
ORV,G,Steve Smith,1994,24,MIA,6,515,0.012,1.0,0.0,1.0,78,35.6,17.3,4.5,5.1,1.1,0.4,0.456,0.347,0.835,8.1,0.141
ORV,C,Dikembe Mutombo,1994,27,DEN,5,515,0.01,1.0,0.0,0.0,82,34.8,12.0,11.8,1.5,0.7,4.1,0.569,0.0,0.583,9.4,0.158
ORV,F,Glen Rice,1994,26,MIA,5,515,0.01,0.0,,,81,37.0,21.1,5.4,2.3,1.4,0.4,0.467,0.382,0.88,10.2,0.163
ORV,F,Clifford Robinson,1994,27,POR,5,515,0.01,0.0,,,82,34.8,20.1,6.7,1.9,1.4,1.4,0.457,0.245,0.765,7.5,0.126
ORV,F,Stacey Augmon,1994,25,ATL,4,515,0.008,0.0,,,82,31.8,14.8,4.8,2.3,1.8,0.5,0.51,0.143,0.764,9.7,0.179
ORV,G,Kendall Gill,1994,25,SEA,4,515,0.008,0.0,,,79,30.8,14.1,3.4,3.5,1.9,0.4,0.443,0.317,0.782,6.7,0.132
ORV,G,Nate McMillan,1994,29,SEA,3,515,0.006,0.0,,,73,25.8,6.0,3.9,5.3,3.0,0.3,0.447,0.391,0.564,6.0,0.154
ORV,F,Detlef Schrempf,1994,31,SEA,3,515,0.006,0.0,,,81,33.7,15.0,5.6,3.4,0.9,0.1,0.493,0.324,0.769,8.4,0.148
ORV,G,Muggsy Bogues,1994,29,CHH,2,515,0.004,0.0,0.0,2.0,77,35.7,10.8,4.1,10.1,1.7,0.0,0.471,0.167,0.806,6.4,0.112
ORV,G,Anfernee Hardaway,1994,22,ORL,2,515,0.004,0.0,0.0,2.0,82,36.8,16.0,5.4,6.6,2.3,0.6,0.466,0.267,0.742,7.1,0.112
ORV,F,Tom Gugliotta,1994,24,WSB,1,515,0.002,0.0,0.0,1.0,78,35.8,17.1,9.3,3.5,2.2,0.7,0.466,0.27,0.685,3.8,0.066
ORV,G,Ron Harper,1994,30,LAC,1,515,0.002,0.0,0.0,1.0,75,38.1,20.1,6.1,4.6,1.9,0.7,0.426,0.301,0.715,2.9,0.049
ORV,G,Jeff Hornacek,1994,30,TOT,1,515,0.002,0.0,0.0,1.0,80,35.3,15.9,3.5,5.2,1.6,0.2,0.47,0.337,0.878,6.9,0.117
ORV,G,Jim Jackson,1994,23,DAL,1,515,0.002,0.0,0.0,1.0,82,37.4,19.2,4.7,4.6,1.1,0.3,0.445,0.283,0.821,0.6,0.009
ORV,F,Derrick McKey,1994,27,IND,1,515,0.002,0.0,0.0,1.0,76,34.4,12.0,5.3,4.3,1.5,0.6,0.5,0.29,0.756,5.0,0.092
ORV,G,John Starks,1994,28,NYK,1,515,0.002,0.0,0.0,1.0,59,34.9,19.0,3.1,5.9,1.6,0.1,0.42,0.335,0.754,5.8,0.135
ORV,F,Clarence Weatherspoon,1994,23,PHI,1,515,0.002,0.0,0.0,1.0,82,38.4,18.4,10.1,2.3,1.2,1.4,0.483,0.235,0.693,6.0,0.091
ORV,F,Chris Webber,1994,20,GSW,1,515,0.002,0.0,0.0,1.0,76,32.1,17.5,9.1,3.6,1.2,2.2,0.552,0.0,0.532,7.8,0.154
1st,F,Karl Malone,1995,31,UTA,519,525,0.989,102.0,,,82,38.1,26.7,10.6,3.5,1.6,1.0,0.536,0.268,0.742,13.8,0.212
1st,C,David Robinson,1995,29,SAS,479,525,0.912,86.0,,,81,38.0,27.6,10.8,2.9,1.7,3.2,0.53,0.3,0.774,17.5,0.273
1st,F,Scottie Pippen,1995,29,CHI,451,525,0.859,73.0,,,79,38.2,21.4,8.1,5.2,2.9,1.1,0.48,0.345,0.716,11.8,0.188
1st,G,John Stockton,1995,32,UTA,447,525,0.851,73.0,,,82,35.0,14.7,3.1,12.3,2.4,0.3,0.542,0.449,0.804,13.9,0.233
1st,G,Anfernee Hardaway,1995,23,ORL,394,525,0.75,55.0,,,77,37.7,20.9,4.4,7.2,1.7,0.3,0.512,0.349,0.769,10.7,0.177
2nd,F,Charles Barkley,1995,31,PHO,363,525,0.691,31.0,,,68,35.0,23.0,11.1,4.1,1.6,0.7,0.486,0.338,0.748,10.6,0.214
2nd,G,Gary Payton,1995,26,SEA,342,525,0.651,40.0,,,82,36.8,20.6,3.4,7.1,2.5,0.2,0.509,0.302,0.716,11.7,0.187
2nd,C,Shaquille O'Neal,1995,22,ORL,311,525,0.592,15.0,,,79,37.0,29.3,11.4,2.7,0.9,2.4,0.583,0.0,0.533,14.0,0.23
2nd,G,Mitch Richmond,1995,29,SAC,253,525,0.482,25.0,,,82,38.7,22.8,4.4,3.8,1.1,0.4,0.446,0.368,0.843,8.0,0.12
2nd,F,Shawn Kemp,1995,25,SEA,161,525,0.307,0.0,,,82,32.7,18.7,10.9,1.8,1.2,1.5,0.547,0.286,0.749,10.6,0.19
3rd,G,Reggie Miller,1995,29,IND,158,525,0.301,2.0,,,81,32.9,19.6,2.6,3.0,1.2,0.2,0.462,0.415,0.897,11.4,0.204
3rd,F,Dennis Rodman,1995,33,SAS,113,525,0.215,1.0,,,49,32.0,7.1,16.8,2.0,0.6,0.5,0.571,0.0,0.676,5.8,0.178
3rd,C,Hakeem Olajuwon,1995,32,HOU,102,525,0.194,3.0,,,72,39.6,27.8,10.8,3.5,1.8,3.4,0.517,0.188,0.756,10.7,0.181
3rd,F,Detlef Schrempf,1995,32,SEA,95,525,0.181,1.0,,,82,35.2,19.2,6.2,3.8,1.1,0.4,0.523,0.514,0.839,12.9,0.215
3rd,G,Clyde Drexler,1995,32,TOT,73,525,0.139,4.0,,,76,35.9,21.8,6.3,4.8,1.8,0.6,0.461,0.36,0.824,11.7,0.206
ORV,F,Jamal Mashburn,1995,22,DAL,64,525,0.122,2.0,,,80,37.3,24.1,4.1,3.7,1.0,0.1,0.436,0.328,0.739,6.3,0.102
ORV,C,Patrick Ewing,1995,32,NYK,51,525,0.097,1.0,,,79,37.0,23.9,11.0,2.7,0.9,2.0,0.503,0.286,0.75,9.6,0.157
ORV,G,Michael Jordan,1995,31,CHI,44,525,0.084,7.0,,,17,39.3,26.9,6.9,5.3,1.8,0.8,0.411,0.5,0.801,2.3,0.167
ORV,G,Jim Jackson,1995,24,DAL,35,525,0.067,2.0,,,51,38.9,25.7,5.1,3.7,0.5,0.2,0.472,0.318,0.805,4.9,0.118
ORV,G,Dana Barros,1995,27,PHI,32,525,0.061,0.0,,,82,40.5,20.6,3.3,7.5,1.8,0.0,0.49,0.464,0.899,12.7,0.183
ORV,F,Larry Johnson,1995,25,CHH,26,525,0.05,0.0,,,81,39.9,18.8,7.2,4.6,1.0,0.3,0.48,0.386,0.774,8.5,0.126
ORV,F,Cedric Ceballos,1995,25,LAL,20,525,0.038,0.0,,,58,35.0,21.7,8.0,1.8,1.0,0.3,0.509,0.397,0.716,5.2,0.123
ORV,F,Glen Rice,1995,27,MIA,18,525,0.034,0.0,,,82,36.8,22.3,4.6,2.3,1.4,0.2,0.475,0.41,0.855,10.0,0.159
ORV,F,Horace Grant,1995,29,ORL,17,525,0.032,0.0,,,74,36.4,12.8,9.7,2.3,1.0,1.2,0.567,0.0,0.692,9.5,0.169
ORV,F,Vin Baker,1995,23,MIL,16,525,0.03,0.0,,,82,41.0,17.7,10.3,3.6,1.0,1.4,0.483,0.292,0.593,5.8,0.083
ORV,G,Nick Van Exel,1995,23,LAL,13,525,0.025,0.0,,,80,36.8,16.9,2.8,8.3,1.2,0.1,0.42,0.358,0.783,6.4,0.104
ORV,G,Joe Dumars,1995,31,DET,11,525,0.021,1.0,,,67,38.0,18.1,2.4,5.5,1.1,0.1,0.43,0.305,0.805,1.7,0.032
ORV,G,Jason Kidd,1995,21,DAL,10,525,0.019,0.0,,,79,33.8,11.7,5.4,7.7,1.9,0.3,0.385,0.272,0.698,3.7,0.066
ORV,G,Tim Hardaway,1995,28,GSW,9,525,0.017,0.0,,,62,37.4,20.1,3.1,9.3,1.4,0.2,0.427,0.378,0.76,5.1,0.105
ORV,G,Muggsy Bogues,1995,30,CHH,7,525,0.013,0.0,,,78,33.7,11.1,3.3,8.7,1.3,0.0,0.477,0.2,0.889,8.6,0.157
ORV,F,Sean Elliott,1995,26,SAS,7,525,0.013,0.0,,,81,35.3,18.1,3.5,2.5,1.0,0.5,0.468,0.408,0.807,8.7,0.147
ORV,F,Tyrone Hill,1995,26,CLE,7,525,0.013,0.0,,,70,34.2,13.8,10.9,0.8,0.8,0.6,0.504,0.0,0.662,6.9,0.138
ORV,G,Latrell Sprewell,1995,24,GSW,6,525,0.011,1.0,,,69,40.2,20.6,3.7,4.0,1.6,0.7,0.418,0.276,0.781,2.0,0.034
ORV,G,Mookie Blaylock,1995,27,ATL,5,525,0.01,0.0,,,80,38.4,17.2,4.9,7.7,2.5,0.3,0.425,0.359,0.729,9.4,0.147
ORV,F,Glenn Robinson,1995,22,MIL,5,525,0.01,0.0,,,80,37.0,21.9,6.4,2.5,1.4,0.3,0.451,0.321,0.796,3.2,0.053
ORV,F,Grant Hill,1995,22,DET,4,525,0.008,0.0,,,70,38.3,19.9,6.4,5.0,1.8,0.9,0.477,0.148,0.732,5.4,0.097
ORV,G,Jeff Hornacek,1995,31,UTA,4,525,0.008,0.0,,,81,33.3,16.5,2.6,4.3,1.6,0.2,0.514,0.406,0.882,10.1,0.179
ORV,G,Nick Anderson,1995,27,ORL,3,525,0.006,0.0,,,76,34.1,15.8,4.4,4.1,1.6,0.3,0.476,0.415,0.704,8.3,0.154
ORV,G,B.J. Armstrong,1995,27,CHI,3,525,0.006,0.0,,,82,31.4,14.0,2.3,3.0,1.0,0.1,0.468,0.427,0.884,8.1,0.152
ORV,F,Dale Davis,1995,25,IND,3,525,0.006,0.0,,,74,31.7,10.6,9.4,0.8,1.0,1.6,0.563,0.0,0.533,6.8,0.14
ORV,G,Mark Price,1995,30,CLE,3,525,0.006,0.0,,,48,28.6,15.8,2.3,7.0,0.7,0.1,0.413,0.407,0.914,4.2,0.147
ORV,G,Spud Webb,1995,31,SAC,3,525,0.006,0.0,,,76,32.3,11.6,2.3,6.2,1.0,0.1,0.438,0.331,0.934,5.1,0.099
ORV,G,Avery Johnson,1995,29,SAS,2,525,0.004,0.0,0.0,2.0,82,36.7,13.4,2.5,8.2,1.4,0.2,0.519,0.136,0.685,8.0,0.128
ORV,C,Alonzo Mourning,1995,24,CHH,2,525,0.004,0.0,0.0,2.0,77,38.2,21.3,9.9,1.4,0.6,2.9,0.519,0.324,0.761,9.4,0.153
ORV,F,Stacey Augmon,1995,26,ATL,1,525,0.002,0.0,0.0,1.0,76,31.1,13.9,4.8,2.6,1.3,0.6,0.453,0.269,0.728,5.1,0.103
ORV,F,Danny Manning,1995,28,PHO,1,525,0.002,0.0,0.0,1.0,46,32.8,17.9,6.0,3.3,0.9,1.2,0.547,0.286,0.673,3.4,0.109
ORV,G,John Starks,1995,29,NYK,1,525,0.002,0.0,0.0,1.0,80,34.1,15.3,2.7,5.1,1.2,0.1,0.395,0.355,0.737,6.2,0.109
1st,G,Michael Jordan,1996,32,CHI,565,565,1.0,113.0,0.0,0.0,82,37.7,30.4,6.6,4.3,2.2,0.5,0.495,0.427,0.834,20.4,0.317
1st,F,Scottie Pippen,1996,30,CHI,517,565,0.915,91.0,,,77,36.7,19.4,6.4,5.9,1.7,0.7,0.463,0.374,0.679,12.3,0.209
1st,G,Anfernee Hardaway,1996,24,ORL,516,565,0.913,90.0,,,82,36.8,21.7,4.3,7.1,2.0,0.5,0.513,0.314,0.767,14.4,0.229
1st,F,Karl Malone,1996,32,UTA,509,565,0.901,89.0,,,82,38.0,25.7,9.8,4.2,1.7,0.7,0.519,0.4,0.723,15.1,0.233
1st,C,David Robinson,1996,30,SAS,442,565,0.782,65.0,,,82,36.8,25.0,12.2,3.0,1.4,3.3,0.516,0.333,0.761,18.3,0.29
2nd,C,Hakeem Olajuwon,1996,33,HOU,378,565,0.669,40.0,,,72,38.8,26.9,10.9,3.6,1.6,2.9,0.514,0.214,0.724,9.7,0.166
2nd,F,Shawn Kemp,1996,26,SEA,306,565,0.542,18.0,,,79,33.3,19.6,11.4,2.2,1.2,1.6,0.561,0.417,0.742,11.2,0.205
2nd,G,Gary Payton,1996,27,SEA,294,565,0.52,14.0,,,81,39.0,19.3,4.2,7.5,2.9,0.2,0.484,0.328,0.748,11.5,0.174
2nd,F,Grant Hill,1996,23,DET,266,565,0.471,14.0,,,80,40.8,20.2,9.8,6.9,1.3,0.6,0.462,0.192,0.751,11.7,0.172
2nd,G,John Stockton,1996,33,UTA,258,565,0.457,7.0,,,82,35.5,14.7,2.8,11.2,1.7,0.2,0.538,0.422,0.83,13.0,0.214
3rd,F,Charles Barkley,1996,32,PHO,236,565,0.418,10.0,,,71,37.1,23.2,11.6,3.7,1.6,0.8,0.5,0.28,0.777,10.5,0.191
3rd,C,Shaquille O'Neal,1996,23,ORL,185,565,0.327,8.0,,,54,36.0,26.6,11.0,2.9,0.6,2.1,0.573,0.5,0.487,6.9,0.171
3rd,G,Mitch Richmond,1996,30,SAC,167,565,0.296,1.0,,,81,36.4,23.1,3.3,3.1,1.5,0.2,0.447,0.437,0.866,9.3,0.151
3rd,G,Reggie Miller,1996,30,IND,90,565,0.159,0.0,,,76,34.5,21.1,2.8,3.3,1.0,0.2,0.473,0.41,0.863,10.3,0.188
3rd,F,Juwan Howard,1996,22,WSB,68,565,0.12,3.0,,,81,40.7,22.1,8.1,4.4,0.8,0.5,0.489,0.308,0.749,5.6,0.082
ORV,F,Dennis Rodman,1996,34,CHI,57,565,0.101,1.0,,,64,32.6,5.5,14.9,2.5,0.6,0.4,0.48,0.111,0.528,6.2,0.143
ORV,G,Jason Kidd,1996,22,DAL,43,565,0.076,1.0,,,81,37.5,16.6,6.8,9.7,2.2,0.3,0.381,0.336,0.692,4.3,0.068
ORV,G,Rod Strickland,1996,29,POR,33,565,0.058,0.0,,,67,37.7,18.7,4.4,9.6,1.4,0.2,0.46,0.342,0.652,7.1,0.136
ORV,F,Sean Elliott,1996,27,SAS,27,565,0.048,0.0,,,77,37.7,20.0,5.1,2.7,0.9,0.4,0.466,0.411,0.771,7.7,0.128
ORV,G,Terrell Brandon,1996,25,CLE,25,565,0.044,0.0,,,75,34.3,19.3,3.3,6.5,1.8,0.4,0.465,0.387,0.887,12.7,0.237
ORV,F,Vin Baker,1996,24,MIL,23,565,0.041,0.0,,,82,40.5,21.1,9.9,2.6,0.8,1.1,0.489,0.208,0.67,6.2,0.089
ORV,G,Clyde Drexler,1996,33,HOU,18,565,0.032,0.0,,,52,38.4,19.3,7.2,5.8,2.0,0.5,0.433,0.332,0.784,6.7,0.161
ORV,F,Glen Rice,1996,28,CHH,10,565,0.018,0.0,,,79,39.8,21.6,4.8,2.9,1.2,0.2,0.471,0.424,0.837,8.3,0.127
ORV,F,Detlef Schrempf,1996,33,SEA,9,565,0.016,0.0,,,63,34.9,17.1,5.2,4.4,0.9,0.1,0.486,0.408,0.776,8.2,0.179
ORV,C,Alonzo Mourning,1996,25,MIA,8,565,0.014,0.0,,,70,38.2,23.2,10.4,2.3,1.0,2.7,0.523,0.3,0.685,9.9,0.178
ORV,F,Magic Johnson,1996,36,LAL,7,565,0.012,0.0,,,32,29.9,14.6,5.7,6.9,0.8,0.4,0.466,0.379,0.856,3.6,0.181
ORV,C,Patrick Ewing,1996,33,NYK,3,565,0.005,0.0,,,76,36.6,22.5,10.6,2.1,0.9,2.4,0.466,0.143,0.761,6.8,0.116
ORV,F,Horace Grant,1996,30,ORL,3,565,0.005,0.0,,,63,36.3,13.4,9.2,2.7,1.0,1.2,0.513,0.167,0.734,8.0,0.169
ORV,G,Allan Houston,1996,24,DET,3,565,0.005,0.0,,,82,37.5,19.7,3.7,3.0,0.7,0.2,0.453,0.427,0.823,7.1,0.112
ORV,F,Dennis Scott,1996,27,ORL,3,565,0.005,0.0,,,82,37.1,17.5,3.8,3.0,1.1,0.4,0.44,0.425,0.82,8.8,0.138
ORV,G,Latrell Sprewell,1996,25,GSW,3,565,0.005,0.0,,,78,39.3,18.9,4.9,4.2,1.6,0.6,0.428,0.323,0.789,5.5,0.086
ORV,F,Larry Johnson,1996,26,CHH,2,565,0.004,0.0,0.0,2.0,81,40.4,20.5,8.4,4.4,0.7,0.5,0.476,0.366,0.757,10.1,0.149
ORV,G,Mookie Blaylock,1996,28,ATL,1,565,0.002,0.0,0.0,1.0,81,35.7,15.7,4.1,5.9,2.6,0.2,0.405,0.371,0.747,9.0,0.149
ORV,F,Elden Campbell,1996,27,LAL,1,565,0.002,0.0,0.0,1.0,82,32.9,13.9,7.6,2.2,1.1,2.6,0.503,0.0,0.713,8.2,0.147
ORV,F,Cedric Ceballos,1996,26,LAL,1,565,0.002,0.0,0.0,1.0,78,33.7,21.2,6.9,1.5,1.2,0.3,0.53,0.277,0.804,9.8,0.18
ORV,G,Avery Johnson,1996,30,SAS,1,565,0.002,0.0,0.0,1.0,82,37.6,13.1,2.5,9.6,1.5,0.3,0.494,0.194,0.721,9.1,0.141
ORV,G,Kevin Johnson,1996,29,PHO,1,565,0.002,0.0,0.0,1.0,56,35.8,18.7,3.9,9.2,1.5,0.2,0.507,0.368,0.859,8.2,0.195
ORV,C,Dikembe Mutombo,1996,29,DEN,1,565,0.002,0.0,0.0,1.0,74,36.7,11.0,11.8,1.5,0.5,4.5,0.499,0.0,0.695,7.6,0.134
ORV,G,Bobby Phills,1996,26,CLE,1,565,0.002,0.0,0.0,1.0,72,35.1,14.6,3.6,3.8,1.4,0.4,0.467,0.441,0.775,7.1,0.136
