# Tm,Pos,Player,Season,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,3rd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
ORV,C,Moses Malone,1988,32,WSB,19,160,0.119,0.0,19.0,,79,34.1,20.3,11.2,1.4,0.7,0.9,0.487,0.286,0.788,9.2,0.163
ORV,C,Brad Daugherty,1988,22,CLE,15,160,0.094,0.0,15.0,,79,37.4,18.7,8.4,4.2,0.6,0.7,0.51,0.0,0.716,6.6,0.107
ORV,G,Isiah Thomas,1988,26,DET,14,160,0.088,0.0,14.0,,81,36.1,19.5,3.4,8.4,1.7,0.2,0.463,0.309,0.774,7.6,0.124
ORV,G,Dale Ellis,1988,27,SEA,3,160,0.019,0.0,3.0,,75,37.2,25.8,4.5,2.6,1.0,0.1,0.503,0.413,0.767,9.0,0.155
ORV,F,Buck Williams,1988,27,NJN,3,160,0.019,0.0,3.0,,70,37.7,18.3,11.9,1.6,1.0,0.6,0.56,1.0,0.668,7.6,0.138
ORV,F,Mark Aguirre,1988,28,DAL,2,160,0.012,0.0,2.0,,77,33.9,25.1,5.6,3.6,0.9,0.7,0.475,0.302,0.77,8.8,0.163
ORV,G,Rolando Blackman,1988,28,DAL,2,160,0.012,0.0,2.0,,71,36.3,18.7,3.5,3.7,0.9,0.3,0.473,0.0,0.873,6.8,0.126
ORV,G,Mark Jackson,1988,22,NYK,2,160,0.012,0.0,2.0,,82,39.6,13.6,4.8,10.6,2.5,0.1,0.432,0.254,0.774,7.6,0.113
ORV,G,Byron Scott,1988,26,LAL,2,160,0.012,0.0,2.0,,81,37.6,21.7,4.1,4.1,1.9,0.3,0.527,0.346,0.858,10.7,0.168
ORV,C,Kevin Duckworth,1988,23,POR,1,160,0.006,0.0,1.0,,78,28.5,15.8,7.4,0.8,0.4,0.4,0.496,0.0,0.77,5.2,0.112
ORV,C,Mark Eaton,1988,31,UTA,1,160,0.006,0.0,1.0,,82,33.3,7.0,8.7,0.7,0.5,3.7,0.418,0.0,0.623,4.1,0.072
ORV,F,Alex English,1988,34,DEN,1,160,0.006,0.0,1.0,,80,35.2,25.0,4.7,4.7,0.9,0.3,0.495,0.0,0.828,7.6,0.129
ORV,F,Charles Oakley,1988,24,CHI,1,160,0.006,0.0,1.0,,82,34.3,12.4,13.0,3.0,0.8,0.3,0.483,0.25,0.727,6.7,0.114
ORV,C,Robert Parish,1988,34,BOS,1,160,0.006,0.0,1.0,,74,31.2,14.3,8.5,1.6,0.7,1.1,0.589,0.0,0.734,6.4,0.134
ORV,C,Jack Sikma,1988,32,MIL,1,160,0.006,0.0,1.0,,82,35.6,16.5,8.6,3.4,1.1,1.0,0.486,0.214,0.922,9.4,0.154
ORV,F,James Worthy,1988,26,LAL,1,160,0.006,0.0,1.0,,75,35.4,19.7,5.0,3.9,1.0,0.7,0.531,0.125,0.796,7.9,0.143
1st,F,Karl Malone,1989,25,UTA,425,425,1.0,85.0,0.0,0.0,80,39.1,29.1,10.7,2.7,1.8,0.9,0.519,0.313,0.766,15.2,0.233
1st,G,Magic Johnson,1989,29,LAL,423,425,0.995,84.0,,,77,37.5,22.5,7.9,12.8,1.8,0.3,0.509,0.314,0.911,16.1,0.267
1st,G,Michael Jordan,1989,25,CHI,423,425,0.995,84.0,,,81,40.2,32.5,8.0,8.0,2.9,0.8,0.538,0.276,0.85,19.8,0.292
1st,F,Charles Barkley,1989,25,PHI,412,425,0.969,80.0,,,79,39.1,25.8,12.5,4.1,1.6,0.8,0.579,0.216,0.753,16.1,0.25
1st,C,Hakeem Olajuwon,1989,26,HOU,379,425,0.892,66.0,,,82,36.9,24.8,13.5,1.8,2.6,3.4,0.508,0.0,0.696,12.4,0.197
2nd,C,Patrick Ewing,1989,26,NYK,267,425,0.628,17.0,,,80,36.2,22.7,9.3,2.4,1.5,3.5,0.567,0.0,0.746,10.9,0.181
2nd,G,John Stockton,1989,26,UTA,224,425,0.527,1.0,,,82,38.7,17.1,3.0,13.6,3.2,0.2,0.538,0.242,0.863,15.6,0.236
2nd,F,Tom Chambers,1989,29,PHO,174,425,0.409,1.0,,,81,37.1,25.7,8.4,2.9,1.1,0.7,0.471,0.326,0.851,9.2,0.146
2nd,G,Chris Mullin,1989,25,GSW,137,425,0.322,0.0,,,82,37.7,26.5,5.9,5.1,2.1,0.5,0.509,0.23,0.892,10.6,0.165
2nd,G,Kevin Johnson,1989,22,PHO,131,425,0.308,0.0,,,81,39.2,20.4,4.2,12.2,1.7,0.3,0.505,0.091,0.882,12.2,0.184
3rd,F,Dominique Wilkins,1989,29,ATL,116,425,0.273,2.0,,,80,37.5,26.2,6.9,2.6,1.5,0.7,0.464,0.276,0.844,10.4,0.166
3rd,G,Dale Ellis,1989,28,SEA,83,425,0.195,1.0,,,82,38.9,27.5,4.2,2.0,1.3,0.3,0.501,0.478,0.816,10.8,0.163
3rd,G,Mark Price,1989,24,CLE,75,425,0.176,0.0,,,75,36.4,18.9,3.0,8.4,1.5,0.1,0.526,0.441,0.901,11.3,0.199
3rd,F,Terry Cummings,1989,27,MIL,70,425,0.165,1.0,,,80,35.3,22.9,8.1,2.5,1.3,0.9,0.467,0.467,0.787,7.7,0.131
3rd,C,Robert Parish,1989,35,BOS,70,425,0.165,1.0,,,80,35.5,18.6,12.5,2.2,1.0,1.5,0.57,0.0,0.719,10.5,0.177
ORV,G,Clyde Drexler,1989,26,POR,65,425,0.153,0.0,,,78,39.3,27.2,7.9,5.8,2.7,0.7,0.496,0.26,0.799,12.6,0.197
